SamAccountName,First,Last,Full,Password,Role
mike.hammer,Mike,Hammer,Mike Hammer,Zioptis123,Manager
john.franklin,John,Smith,John Smith,Zioptis123,Manager
adam.wally,Adam,Wally,Adam Wally,Zioptis123,Manager
elijah.blakley,Elijah,Blakley,Elijah Blakley,Zioptis123,Manager
herminia.oliva,Herminia,Oliva,Herminia Oliva,Zioptis123,Manager
fannie.eames,Fannie,Eames,Fannie Eames,Zioptis123,Manager
nguyet.catlett,Nguyet,Catlett,Nguyet Catlett,Zioptis123,HR
phyllis.biondo,Phyllis,Biondo,Phyllis Biondo,Zioptis123,HR
merideth.bolanos,Merideth,Bolanos,Merideth Bolanos,Zioptis123,HR
ivan.davie,Ivan,Davie,Ivan Davie,Zioptis123,HR
marcy.hyatt,Marcy,Hyatt,Marcy Hyatt,Zioptis123,Legal
renita.lintz,Renita,Lintz,Renita Lintz,Zioptis123,Legal
sharilyn.penning,Sharilyn,Penning,Sharilyn Penning,Zioptis123,Legal
maryalice.orosz,Maryalice,Orosz,Maryalice Orosz,Zioptis123,Legal
isabella.twiford,Isabella,Twiford,Isabella Twiford,Zioptis123,Legal
elene.bragdon,Elene,Bragdon,Elene Bragdon,Zioptis123,Legal
sandra.bakley,Sandra,Bakley,Sandra Bakley,Zioptis123,Legal
jann.vancleave,Jann,Vancleave,Jann Vancleave,Zioptis123,Finance
buena.delsignore,Buena,Delsignore,Buena Delsignore,Zioptis123,Finance
jeramy.rubalcava,Jeramy,Rubalcava,Jeramy Rubalcava,Zioptis123,Finance
maisie.munez,Maisie,Munez,Maisie Munez,Zioptis123,Finance
leonardo.przybyla,Leonardo,Przybyla,Leonardo Przybyla,Zioptis123,Finance
glady.moler,Glady,Moler,Glady Moler,Zioptis123,Finance
elma.walworth,Elma,Walworth,Elma Walworth,Zioptis123,Finance
lizzie.sellman,Lizzie,Sellman,Lizzie Sellman,Zioptis123,Finance
edna.burnett,Edna,Burnett,Edna Burnett,Zioptis123,Engineer
teri.bradwell,Teri,Bradwell,Teri Bradwell,Zioptis123,Engineer
domonique.galasso,Domonique,Galasso,Domonique Galasso,Zioptis123,Engineer
alona.marr,Alona,Marr,Alona Marr,Zioptis123,Engineer
antwan.waltrip,Antwan,Waltrip,Antwan Waltrip,Zioptis123,Engineer
maye.schewe,Maye,Schewe,Maye Schewe,Zioptis123,Engineer
gwenn.kohler,Gwenn,Kohler,Gwenn Kohler,Zioptis123,Engineer
forest.schlueter,Forest,Schlueter,Forest Schlueter,Zioptis123,Engineer
